Epoch,Training Loss,Validation Accuracy
1,3.3790464997291565,10.577777777777778
2,2.3949998319149017,12.333333333333334
3,2.274518921971321,15.622222222222222
4,2.172319285571575,19.044444444444444
5,2.1742860227823257,18.333333333333332
6,2.1566995680332184,18.08888888888889
7,2.1090504825115204,21.244444444444444
8,2.1532624661922455,17.68888888888889
9,2.0388684943318367,25.4
10,1.9594848901033401,22.68888888888889
